location,latitude,longitude
Lausanne,46.5218269,6.6327025
Bern,46.9484742,7.4521749
Zürich,47.3744489,8.5410422
Kernkraftwerk Gösgen-Däniken AG,47.364447,7.9668683
Gümlingen,,
Berne,46.9484742,7.4521749
travail à domicile,,
Neuchâtel (Hybrid),,
Mägenwil,47.4122258,8.2301927
Berna,46.9484742,7.4521749
Nyon,46.3820585,6.2402791
Ostermundigen,46.9582779,7.4911242
Basel,47.5581077,7.5878261
Baden,47.4736827,8.3086822
Zollikofen,46.9959463,7.4576417
Winterthur,47.4991723,8.7291498
Baar ZG,47.1951976,8.5253985
Kaiseraugst,47.5399823,7.7230178
Chavornay,46.706261,6.5693871
Sion,46.2311749,7.3588795
Dübendorf,47.3969942,8.6185666
Rotkreuz,47.1417024,8.4305526
Reinach BL,47.4935369,7.5910891
Volketswil,47.3898617,8.690503
Epalinges,46.547327,6.6726245
Arbon,47.5149257,9.4304026
Warsaw,52.2240777,21.023392
Masovian Voivodeship,52.2240777,21.023392
Poland,52.2240777,21.023392
Fribourg,46.6789116,7.1027113
Frauenfeld,47.5561915,8.8963347
Schaffhausen,47.6960491,8.634513
Balzers,47.0540765,9.4996436
Rorschach,47.4779686,9.4914025
Basel-City,47.5579097,7.5927728
Prilly,46.534566,6.6055827
Cham,47.1823761,8.4611036
Switzerland,46.7985624,8.2319736
Witterswil,47.4858554,7.5248795
Stans,46.9570611,8.3661026
Baldegg,47.1856852,8.2801699
8001 / Zürich,47.3726868,8.5416947
2501 Biel/Bienne,47.1395798,7.2467143
Les Acacias,46.1929617,6.1304269
Altdorf UR,46.8820732,8.6413922
CH-BE,46.8382351,7.6004502
Stafa,47.2413349,8.7348747
Lachen,47.1923827,8.8523833
Geneva,46.2017559,6.1466014
Remote DEU,,
Aachen,47.4806385,9.4298253
Plan,46.9566215,10.3850656
Rolle,46.4601563,6.3380469
Plan-les-Ouates,46.1683113,6.117887
Grabs,47.1816557,9.4446312
Mendrisio,45.8709661,8.9875293
Zurich,47.3744489,8.5410422
Vaumarcus,46.8772258,6.7525002
Staefa,47.2413349,8.7348747
Stäfa,47.2413349,8.7348747
Ibach-Schwyz,47.012328,8.6436145
Liestal,47.4839723,7.7347783
Luzern,47.0505452,8.3054682
Breitenbach,47.4078458,7.5443007
Thun,46.7582827,7.628086
Oberdiessbach,46.8399962,7.6192848
Muttenz,47.525113,7.6477401
Wohlen,47.3504945,8.2786906
Ittigen,46.9790726,7.4815213
Wildegg,47.4153808,8.1636356
Dielsdorf,47.4810371,8.4543245
Sursee,47.1725301,8.1067781
Thurgau,47.5859649,9.1428769
Visp,46.2913113,7.8811918
Roggwil BE,47.241147,7.8230774
Baar,47.1951976,8.5253985
Genève,46.2017559,6.1466014
Couvet,46.9261639,6.6343244
La Chaux-de-Fonds,47.1031321,6.8325778
Boudry,46.9487464,6.8358712
Lucerne,47.0505452,8.3054682
Rothenburg,47.0940041,8.2724174
Marin-Epagnier,47.0091238,6.9999328
Reinach,47.4935369,7.5910891
Nottwil,47.1378546,8.1318599
Lupfig,47.4397165,8.2013965
Moosseedorf,47.0163655,7.4839011
Kriens,47.034146,8.2807994
Schmerikon,47.2256001,8.9415774
Raum Bern und teilweise im Homeoffice,,
Schweiz,46.7985624,8.2319736
Zürich Altstetten,47.3913167,8.4893332
Lugano,46.0050102,8.9520281
3008  (Bern),46.9451019,7.4138983
Aarau,47.3927146,8.0444448
Meilen ZH,47.270428,8.6412249
Region Deutschschweiz,,
Kleinlützel,47.4259552,7.4172702
Beringen,47.6975693,8.5733833
Villars-sur-Glâne,46.791321,7.1161892
Versoix,46.2773064,6.168962
Kreuzlingen,47.6464362,9.1725621
Kappel,47.3229823,7.8495476
Suisse romande,46.5269552,6.6546209
Adliswil,47.3117624,8.52491
Wetzikon,47.3226925,8.7980939
Lengghalde 2,47.3518853,8.5735173
Colombier NE,46.9698719,6.8587597
Zug,47.1486137,8.5539378
Bern-Liebefeld,46.9370572,7.4164624
Yverdon-les-Bains,46.7785711,6.6409158
Romanshorn,47.5654452,9.3776036
Davos Platz,46.7917679,9.8210273
Givisiez,46.8145053,7.1295693
Nänikon-Greifensee,47.3695444,8.6859458
CH - Zürich,47.3866172,8.5158116
Urdorf,47.384708,8.4259004
Wettingen,47.465839,8.3266114
Olten,47.3496571,7.903787
Pfaeffikon (Summelenweg),,
Basel (City),47.5579097,7.5927728
Colombier,46.9698719,6.8587597
Tampere,,
Pratteln,47.5192013,7.6944741
Dietikon,47.4050746,8.4030765
LIS,46.9353323,7.4505595
Crissier,46.5538658,6.5772501
Jona,47.2299661,8.837658
Neuchâtel,46.9895828,6.9292641
Biel,47.1402077,7.2439029
Tavannes,47.220131,7.1986691
Petit-Lancy,46.1909747,6.1200687
